"","V1","time","country","valence","sky","temperature"
"38","201902",14,"no",0.433714625000003,0.559655049786629,29.7775784753363
"39","201903",15,"no",0.444067806451613,0.483552631578947,32.4169072164949
"40","201904",16,"no",0.447788783333336,0.412171052631579,43.6701482004234
"41","201905",17,"no",0.44983283870968,0.371496815286624,48.0974915254238
"42","201906",18,"no",0.460680983333329,0.351644736842105,58.096859734822
"43","201907",19,"no",0.479195693548381,0.306138392857143,62.4635994587281
"44","201908",20,"no",0.465456080645157,0.350975433526012,60.0994594594594
"45","201909",21,"no",0.440151199999995,0.470490314769976,50.557746478873
"46","201910",22,"no",0.427127419354831,0.48007528556594,39.4686382393397
"47","201911",23,"no",0.440868683333328,0.486892439243924,30.2188679245283
"48","201912",24,"no",0.454489580645155,0.589519140989729,28.6959943780744
"49","201801",1,"ca",0.45179716129032,0.538896648044693,24.0346153846153
"50","201802",2,"ca",0.453065803571428,0.533880739795918,28.8335301062574
"51","201803",3,"ca",0.460908467741938,0.412772362385321,32.1990970654628
"52","201804",4,"ca",0.457053633333339,0.47180296377607,37.8606911447084
"53","201805",5,"ca",0.445247887096777,0.427409988385598,62.3653979238754
"54","201806",6,"ca",0.448724316666667,0.404761904761905,67.4109890109889
"55","201807",7,"ca",0.435407564516125,0.29047256097561,74.4567600487212
"56","201808",8,"ca",0.43270324999999,0.362485448195576,73.7010452961673
"57","201809",9,"ca",0.437507749999998,0.391939975247525,66.0345588235296
"58","201810",10,"ca",0.440838435483873,0.521496406570842,48.7387259858443
"59","201811",11,"ca",0.444037766666663,0.537845303867403,35.8198019801979
"60","201812",12,"ca",0.479302064516129,0.614663726571114,32.5973626373628
"61","201901",13,"ca",0.441205322580644,0.542467948717949,21.1381193124368
"62","201902",14,"ca",0.440506892857138,0.59698275862069,25.2777335984095
"63","201903",15,"ca",0.437733887096769,0.472965440356745,30.8256578947368
"64","201904",16,"ca",0.444960183333333,0.546554054054054,43.3137339055792
"65","201905",17,"ca",0.465002532258063,0.471454640250261,53.0067971163749
"66","201906",18,"ca",0.485391499999993,0.373092723004695,64.8679156908665
"67","201907",19,"ca",0.495365419354838,0.349290266512167,74.4011587485516
"68","201908",20,"ca",0.494479112903226,0.325164868105516,70.5563025210084
"69","201909",21,"ca",0.490120016666665,0.367509079903148,64.5176755447942
"70","201910",22,"ca",0.486812387096776,0.426655251141553,52.0283125707814
"71","201911",23,"ca",0.489493333333333,0.518008474576271,34.143352601156
"72","201912",24,"ca",0.504282919354837,0.560647092360319,30.4604255319148
"73","201801",1,"be",0.483976096774194,0.478664463452566,42.6754032258063
"74","201802",2,"be",0.48145048214286,0.416936229205176,33.0159344750558
"75","201803",3,"be",0.488537112903225,0.442001565762004,41.4333557498318
"76","201804",4,"be",0.496988566666664,0.41966995447648,54.9021542738014
"77","201805",5,"be",0.501524741935478,0.343947784810127,60.9821862348177
"78","201806",6,"be",0.484395233333334,0.438327316486161,63.7207783182766
"79","201807",7,"be",0.47896301612903,0.303691275167785,70.369758064516
