region,year_month,streams,af_danceability,af_energy,af_key,af_loudness,af_speechiness,af_acousticness,af_valence,af_tempo
Greece,201809,8457031.0,0.7071779968863519,0.6492073170731707,5.352620653866113,-5.941519979242345,0.1417867929423975,0.19384196860404776,0.44600921120913334,120.20563985469643
Greece,201810,8502150.0,0.7134327669902912,0.6478973300970874,5.096116504854369,-5.931767475728155,0.1259041990291262,0.18094585825242718,0.44923211165048543,120.40079805825243
Greece,201811,8717252.0,0.6994777255428699,0.6188202372957242,5.165659279158271,-6.3838209088873965,0.1176774792925901,0.2138186112760242,0.4480358406089098,120.55856256995747
Greece,201812,11345785.0,0.6733075712537158,0.5914334201783529,5.109109984262983,-7.102194789298828,0.10828190243049483,0.2840133895785977,0.48814107361426823,121.65755464242001
Greece,201901,10614907.0,0.7068143896976484,0.6283191489361702,5.443449048152296,-6.189336132885406,0.11802226577081,0.2114162030608436,0.44160490854796564,121.8107303098171
Greece,201902,11793126.0,0.7048876054272094,0.6276578657865787,5.373487348734874,-6.233257792445912,0.12215687568756876,0.21182222038870552,0.43416362302896955,121.40550531719839
Greece,201903,14155646.0,0.7166949782011949,0.6290278217342161,5.511868238333602,-6.449586791538834,0.13458260939770708,0.21439978495075085,0.43781298239948324,118.90934361375746
Greece,201904,13642209.0,0.7156121314237575,0.6132842628475147,5.469081718618366,-6.938996124684078,0.14534559393428811,0.23321013428812132,0.43766665543386685,117.83054860994102
Greece,201905,14889296.0,0.7121200323101777,0.6207098546042004,5.669143780290792,-6.762562520193861,0.1374400323101777,0.23586718471728596,0.4478562197092084,118.64043667205169
Greece,201906,23400689.0,0.7234433333333333,0.6397676666666667,5.415,-6.697573,0.1435901,0.2412500976666667,0.4559357333333333,118.9319935
Greece,201907,23245541.0,0.7241240322580645,0.6431764516129033,5.367741935483871,-6.609088225806452,0.1417526935483871,0.23910618870967743,0.46914974193548387,119.50655741935483
Greece,201908,22604190.0,0.715275629032258,0.6421922419354839,5.4964516129032255,-6.790252741935484,0.1424185,0.24760565583870967,0.4779756774193548,120.61971306451613
Greece,201909,21244231.0,0.7116393333333334,0.6380692333333333,5.477833333333334,-6.7418000000000005,0.15004975,0.26523490558333335,0.46977579999999997,121.48152916666668
Greece,201910,20032961.0,0.7077030645161291,0.6389895161290323,5.69,-6.596662580645161,0.1505793387096774,0.2605012348387097,0.47543956451612907,121.25642870967742
Greece,201911,20262277.0,0.706145,0.6303396666666666,5.939,-6.976351833333333,0.14790938333333334,0.267019275,0.46823895,123.13285416666666
Greece,201912,23177823.0,0.6835435483870969,0.608546935483871,5.670322580645161,-7.408574838709677,0.13798164516129033,0.2936360451612903,0.4939671612903226,122.56575693548386
Hungary,201801,14329691.0,0.6830659873037087,0.6805591379886402,5.221850985633144,-5.698318743735382,0.10268628466421652,0.16198461156030738,0.49332918476445037,118.84080070163716
Hungary,201802,13249588.0,0.6864153182308522,0.6818426824883136,5.255303847536857,-5.686507011866235,0.10043948220064726,0.1541045381157857,0.5034243257820927,119.3996715210356
Hungary,201803,14993024.0,0.6799764915693904,0.6849411478599221,5.310959792477302,-5.680500324254216,0.09929109922178989,0.1619354602788586,0.49955189688715956,119.44555706874189
Hungary,201804,15008165.0,0.6755479198248273,0.6901398012464207,5.465723429341418,-5.61467155128853,0.09970688900117904,0.16407868431867947,0.5008046319690079,119.68458598618831
Hungary,201805,15353458.0,0.6706322580645161,0.6919383870967742,5.264516129032258,-5.539407580645161,0.09749551612903226,0.16831198738709677,0.49343787096774194,119.35556129032258
Hungary,201806,15603343.0,0.679071,0.68211995,5.301666666666667,-5.643763,0.10694041666666668,0.17840360175,0.4918942666666667,118.52707083333334
Hungary,201807,16341785.0,0.6746140322580645,0.6830809677419355,5.243225806451613,-5.7588467741935485,0.10170906451612903,0.18512032016129032,0.491491435483871,119.66158354838709
Hungary,201808,16708796.0,0.6644243548387097,0.6926646774193548,5.273548387096774,-5.655016451612903,0.10027135483870968,0.17988832217741935,0.49173037096774197,118.57296983870968
Hungary,201809,17202871.0,0.6754223333333333,0.6812266666666666,5.225833333333333,-5.789023,0.11554001666666666,0.1801304694166667,0.4757614666666667,117.59078733333334
Hungary,201810,18195107.0,0.6798974193548386,0.6717896774193549,5.055483870967742,-5.856287419354839,0.10851019354838709,0.17434212717741934,0.4651907096774194,116.64332661290322
Hungary,201811,17601492.0,0.6621721666666667,0.6604328333333334,4.948666666666667,-6.014223,0.09869161666666668,0.198083376,0.4561848166666667,116.34315050000001
Hungary,201812,23083620.0,0.6394762903225807,0.6145901016129033,4.948709677419354,-6.914225,0.08782133870967741,0.30050228064516127,0.49861682258064516,117.71615274193549
Hungary,201901,18732139.0,0.6863870161290323,0.6584711290322581,5.130483870967742,-6.0677243548387105,0.10090875806451614,0.22207397032258064,0.4678836774193548,117.9571620967742
Hungary,201902,19119446.0,0.6793810714285714,0.6566763571428571,5.1432142857142855,-6.0732003571428566,0.105184125,0.2217617857142857,0.4566286785714286,116.78773946428572
Hungary,201903,20345195.0,0.6798777419354839,0.6639748870967742,5.307258064516129,-5.890722903225807,0.10633440322580644,0.21521047896774195,0.4727965322580645,114.40284967741934
Hungary,201904,19827606.0,0.6800673333333334,0.65293075,5.294333333333333,-6.194479,0.11309378333333332,0.22012390899999998,0.4740789166666667,115.34375066666666
Hungary,201905,20382590.0,0.6810529032258065,0.6634899032258064,5.3385483870967745,-6.037295,0.11542424193548388,0.2098736355483871,0.48199695161290323,117.77540887096775
Hungary,201906,20448238.0,0.6917203333333334,0.6805761666666666,5.235666666666667,-5.736610000000001,0.11076678333333333,0.19551307091666667,0.4972224333333334,117.5314885
Hungary,201907,22415420.0,0.6875577419354839,0.6847827419354839,5.265,-5.690727258064515,0.10642364516129033,0.20253290941935484,0.5019896612903226,117.37842322580646
Hungary,201908,21404675.0,0.678251435483871,0.6813781774193549,5.17741935483871,-5.741264032258065,0.10449791935483871,0.20311654259677417,0.5020366774193548,117.74783919354839
Hungary,201909,22311023.0,0.6773145,0.6785995,5.107333333333333,-5.607233166666666,0.10854458333333335,0.20638285673333334,0.5012606,118.26364683333334
Hungary,201910,23921166.0,0.6770522580645162,0.6761877419354838,5.100161290322581,-5.60764564516129,0.11107024193548387,0.20551129296774193,0.4948113709677419,118.33161258064517
Hungary,201911,23983796.0,0.6779866666666666,0.652632,5.301833333333334,-5.9764385,0.10762580000000001,0.2271885820333333,0.4952506333333333,118.784761
Hungary,201912,33417408.0,0.6478883870967742,0.6053589032258064,5.357903225806451,-6.929697580645161,0.09258414516129032,0.31303925812903227,0.5148041129032258,119.49619887096773
Iceland,201801,5852072.0,0.7281438446346281,0.6040533245556288,5.159315339038842,-7.1382685977616855,0.12376994733377222,0.17383076629361421,0.46913258722843976,122.19276761026993
Iceland,201802,5881091.0,0.7289976430976431,0.6152279461279462,5.238720538720539,-7.104165993265993,0.12339622895622897,0.15787059932659933,0.4747708754208754,124.2433542087542
Iceland,201803,6493505.0,0.723779282115869,0.6045887909319899,5.528337531486146,-7.223949937027708,0.12283772040302268,0.1833753982997481,0.47951926952141055,122.42945025188916
Iceland,201804,8197364.0,0.7262289228922892,0.6113162316231623,5.754275427542754,-7.30505100510051,0.1478776177617762,0.19466398619861985,0.48153522352235223,122.88289918991899
Iceland,201805,8420373.0,0.7198906088751289,0.6055856553147575,5.600877192982456,-7.081291537667698,0.13712574819401446,0.1937391468008256,0.48317598039215687,121.2279305985552
Iceland,201806,7966602.0,0.7230544906900328,0.5865042442497262,5.507667031763417,-7.268153340635268,0.14810594194961663,0.1991044539978094,0.4721343921139102,121.37310021905805
Iceland,201807,8951685.0,0.7099236484755316,0.5880445810914681,5.1837048424289005,-7.391317448116833,0.13529595183192417,0.2220386331027415,0.4739074558032283,121.55741942095824
Iceland,201808,9350547.0,0.7022224092329887,0.5985984611685501,5.0894445780235635,-7.1599261841788895,0.12800377494590046,0.23200440346237075,0.48348629478239963,122.63004135609522
Iceland,201809,7902337.0,0.7222304172274562,0.6044244414535667,4.9022880215343205,-7.065240915208613,0.14763555854643337,0.21975367025572007,0.4675148048452221,121.22494804845222
Iceland,201810,8683192.0,0.7216448959845186,0.5775950653120464,5.029753265602322,-7.3399051765844225,0.14862718916303821,0.2281010641025641,0.46119366231253023,119.21823270440251
Iceland,201811,10094002.0,0.6982765914987028,0.5559391339054082,5.196767112352823,-7.746736379964079,0.12983444422271004,0.26455845918978244,0.4838841548593095,119.9441690281381
Iceland,201812,11551163.0,0.6398222744530826,0.5343367438076297,5.193635870547821,-8.69730826252034,0.09485709636593743,0.33119333972156934,0.5235009943952269,121.01993292352196
Iceland,201901,7828439.0,0.7280469677419354,0.5827589677419355,5.420387096774194,-7.249319225806452,0.13212887741935483,0.23657296361290323,0.4738474064516129,121.77181445161291
Iceland,201902,8523187.0,0.7161846892369884,0.5685391611925215,5.291308741788782,-7.448393885800909,0.12492857503789793,0.25583710080848915,0.4617078069732188,120.64115588681152
